900, 5, 5, 5, 0.0833333
900, 5, 5, 10, 0.133333
900, 5, 10, 5, 0.1
900, 5, 10, 10, 0.133333
900, 10, 5, 5, 0.133333
900, 10, 5, 10, 0.166667
900, 10, 10, 5, 0.133333
900, 10, 10, 10, 0.0833333
920, 5, 5, 5, 0.0666667
920, 5, 5, 10, 0.1
920, 5, 10, 5, 0.116667
920, 5, 10, 10, 0.133333
920, 10, 5, 5, 0.133333
920, 10, 5, 10, 0.15
920, 10, 10, 5, 0.116667
920, 10, 10, 10, 0.0666667
940, 5, 5, 5, 0.116667
940, 5, 5, 10, 0.116667
940, 5, 10, 5, 0.183333
940, 5, 10, 10, 0.133333
940, 10, 5, 5, 0.1
940, 10, 5, 10, 0.116667
940, 10, 10, 5, 0.1
940, 10, 10, 10, 0.116667
960, 5, 5, 5, 0.133333
960, 5, 5, 10, 0.183333
960, 5, 10, 5, 0.15
960, 5, 10, 10, 0.15
960, 10, 5, 5, 0.1
960, 10, 5, 10, 0.133333
960, 10, 10, 5, 0.1
960, 10, 10, 10, 0.133333
980, 5, 5, 5, 0.166667
980, 5, 5, 10, 0.216667
980, 5, 10, 5, 0.133333
980, 5, 10, 10, 0.166667
980, 10, 5, 5, 0.0833333
980, 10, 5, 10, 0.166667
980, 10, 10, 5, 0.1
980, 10, 10, 10, 0.166667
1000, 5, 5, 5, 0.233333
1000, 5, 5, 10, 0.283333
1000, 5, 10, 5, 0.166667
1000, 5, 10, 10, 0.216667
1000, 10, 5, 5, 0.15
1000, 10, 5, 10, 0.216667
1000, 10, 10, 5, 0.15
1000, 10, 10, 10, 0.233333
1020, 5, 5, 5, 0.183333
1020, 5, 5, 10, 0.2
1020, 5, 10, 5, 0.133333
1020, 5, 10, 10, 0.216667
1020, 10, 5, 5, 0.1
1020, 10, 5, 10, 0.15
1020, 10, 10, 5, 0.133333
1020, 10, 10, 10, 0.183333
1040, 5, 5, 5, 0.0666667
1040, 5, 5, 10, 0.2
1040, 5, 10, 5, 0.0833333
1040, 5, 10, 10, 0.116667
1040, 10, 5, 5, 0.05
1040, 10, 5, 10, 0.1
1040, 10, 10, 5, 0.05
1040, 10, 10, 10, 0.0666667
1060, 5, 5, 5, 0.0833333
1060, 5, 5, 10, 0.183333
1060, 5, 10, 5, 0.0833333
1060, 5, 10, 10, 0.133333
1060, 10, 5, 5, 0.05
1060, 10, 5, 10, 0.0833333
1060, 10, 10, 5, 0.05
1060, 10, 10, 10, 0.0833333
1080, 5, 5, 5, 0.0833333
1080, 5, 5, 10, 0.216667
1080, 5, 10, 5, 0.0833333
1080, 5, 10, 10, 0.1
1080, 10, 5, 5, 0.0833333
1080, 10, 5, 10, 0.133333
1080, 10, 10, 5, 0.0666667
1080, 10, 10, 10, 0.0833333
